Unnamed: 0,Email Text,Email Type,Cleaned Text
0,"re : 6 . 1100 , disc : uniformitarianism , re : 1086 ; sex / lang dick hudson 's observations on us use of 's on ' but not 'd aughter ' as a vocative are very thought-provoking , but i am not sure that it is fair to attribute this to "" sons "" being "" treated like senior relatives "" . for one thing , we do n't normally use ' brother ' in this way any more than we do 'd aughter ' , and it is hard to imagine a natural class comprising senior relatives and 's on ' but excluding ' brother ' . for another , there seem to me to be differences here . if i am not imagining a distinction that is not there , it seems to me that the senior relative terms are used in a wider variety of contexts , e . g . , calling out from a distance to get someone 's attention , and hence at the beginning of an utterance , whereas 's on ' seems more natural in utterances like ' yes , son ' , ' hand me that , son ' than in ones like ' son ! ' or ' son , help me ! ' ( although perhaps these latter ones are not completely impossible ) . alexis mr",Safe Email,disc uniformitarianism sex lang dick hudson observations us use aughter vocative thoughtprovoking sure fair attribute sons treated like senior relatives one thing nt normally use brother way aughter hard imagine natural class comprising senior relatives excluding brother another seem differences imagining distinction seems senior relative terms used wider variety contexts calling distance get someone attention hence beginning utterance whereas seems natural utterances like yes son hand son ones like son son help although perhaps latter ones completely impossible alexis mr
1,"the other side of * galicismos * * galicismo * is a spanish term which names the improper introduction of french words which are spanish sounding and thus very deceptive to the ear . * galicismo * is often considered to be a * barbarismo * . what would be the term which designates the opposite phenomenon , that is unlawful words of spanish origin which may have crept into french ? can someone provide examples ? thank you joseph m kozono < kozonoj @ gunet . georgetown . edu >",Safe Email,side galicismos galicismo spanish term names improper introduction french words spanish sounding thus deceptive ear galicismo often considered barbarismo would term designates opposite phenomenon unlawful words spanish origin may crept french someone provide examples thank joseph kozono
2,"re : equistar deal tickets are you still available to assist robert with entering the new deal tickets for equistar ? after talking with bryan hull and anita luong , kyle and i decided we only need 1 additional sale ticket and 1 additional buyback ticket set up . - - - - - - - - - - - - - - - - - - - - - - forwarded by tina valadez / hou / ect on 04 / 06 / 2000 12 : 56 pm - - - - - - - - - - - - - - - - - - - - - - - - - - - from : robert e lloyd on 04 / 06 / 2000 12 : 40 pm to : tina valadez / hou / ect @ ect cc : subject : re : equistar deal tickets you ' ll may want to run this idea by daren farmer . i don ' t normally add tickets into sitara . tina valadez 04 / 04 / 2000 10 : 42 am to : robert e lloyd / hou / ect @ ect cc : bryan hull / hou / ect @ ect subject : equistar deal tickets kyle and i met with bryan hull this morning and we decided that we only need 1 new sale ticket and 1 new buyback ticket set up . the time period for both tickets should be july 1999 - forward . the pricing for the new sale ticket should be like tier 2 of sitara # 156337 below : the pricing for the new buyback ticket should be like tier 2 of sitara # 156342 below : if you have any questions , please let me know . thanks , tina valadez 3 - 7548",Safe Email,equistar deal tickets still available assist robert entering new deal tickets equistar talking bryan hull anita luong kyle decided need additional sale ticket additional buyback ticket set forwarded tina valadez hou ect pm robert lloyd pm tina valadez hou ect ect cc subject equistar deal tickets may want run idea daren farmer normally add tickets sitara tina valadez robert lloyd hou ect ect cc bryan hull hou ect ect subject equistar deal tickets kyle met bryan hull morning decided need new sale ticket new buyback ticket set time period tickets july forward pricing new sale ticket like tier sitara pricing new buyback ticket like tier sitara questions please let know thanks tina valadez
3,"
Hello I am your hot lil horny toy.
    I am the one you dream About,
    I am a very open minded person,
    Love to talk about and any subject.
    Fantasy is my way of life, 
    Ultimate in sex play.     Ummmmmmmmmmmmmm
     I am Wet and ready for you.     It is not your looks but your imagination that matters most,
     With My sexy voice I can make your dream come true...
  
     Hurry Up! call me let me Cummmmm for you..........................
TOLL-FREE:             1-877-451-TEEN (1-877-451-8336)For phone billing:     1-900-993-2582
-- 
_______________________________________________
Sign-up for your own FREE Personalized E-mail at Mail.com
http://www.mail.com/?sr=signup",Phishing Email,hello hot lil horny toy one dream open minded person love talk subject fantasy way life ultimate sex play ummmmmmmmmmmmmm wet ready looks imagination matters sexy voice make dream come true hurry call let cummmmm tollfree teen phone billing signup free personalized email mailcom httpwwwmailcomsrsignup
4,"software at incredibly low prices ( 86 % lower ) . drapery seventeen term represent any sing . feet wild break able build . tail , send subtract represent . job cow student inch gave . let still warm , family draw , land book . glass plan include . sentence is , hat silent nothing . order , wild famous long their . inch such , saw , person , save . face , especially sentence science . certain , cry does . two depend yes , written carry .",Phishing Email,software incredibly low prices lower drapery seventeen term represent sing feet wild break able build tail send subtract represent job cow student inch gave let still warm family draw land book glass plan include sentence hat silent nothing order wild famous long inch saw person save face especially sentence science certain cry two depend yes written carry
5,"global risk management operations sally congratulations on your new role . if you were not already aware , i am now in rac in houston and i suspect our responsibilities will mean we will talk on occasion . i look forward to that . best regards david - - - - - - - - - - - - - - - - - - - - - - forwarded by david port / lon / ect on 18 / 01 / 2000 14 : 16 - - - - - - - - - - - - - - - - - - - - - - - - - - - enron capital & trade resources corp . from : rick causey @ enron 18 / 01 / 2000 00 : 04 sent by : enron announcements @ enron to : all enron worldwide cc : subject : global risk management operations recognizing enron  , s increasing worldwide presence in the wholesale energy business and the need to insure outstanding internal controls for all of our risk management activities , regardless of location , a global risk management operations function has been created under the direction of sally w . beck , vice president . in this role , sally will report to rick causey , executive vice president and chief accounting officer . sally  , s responsibilities with regard to global risk management operations will mirror those of other recently created enron global functions . in this role , sally will work closely with all enron geographic regions and wholesale companies to insure that each entity receives individualized regional support while also focusing on the following global responsibilities : 1 . enhance communication among risk management operations professionals . 2 . assure the proliferation of best operational practices around the globe . 3 . facilitate the allocation of human resources . 4 . provide training for risk management operations personnel . 5 . coordinate user requirements for shared operational systems . 6 . oversee the creation of a global internal control audit plan for risk management activities . 7 . establish procedures for opening new risk management operations offices and create key benchmarks for measuring on - going risk controls . each regional operations team will continue its direct reporting relationship within its business unit , and will collaborate with sally in the delivery of these critical items . the houston - based risk management operations team under sue frusco  , s leadership , which currently supports risk management activities for south america and australia , will also report directly to sally . sally retains her role as vice president of energy operations for enron north america , reporting to the ena office of the chairman . she has been in her current role over energy operations since 1997 , where she manages risk consolidation and reporting , risk management administration , physical product delivery , confirmations and cash management for ena  , s physical commodity trading , energy derivatives trading and financial products trading . sally has been with enron since 1992 , when she joined the company as a manager in global credit . prior to joining enron , sally had four years experience as a commercial banker and spent seven years as a registered securities principal with a regional investment banking firm . she also owned and managed a retail business for several years . please join me in supporting sally in this additional coordination role for global risk management operations .",Safe Email,global risk management operations sally congratulations new role already aware rac houston suspect responsibilities mean talk occasion look forward best regards david forwarded david port lon ect enron capital trade resources corp rick causey enron sent enron announcements enron enron worldwide cc subject global risk management operations recognizing enron increasing worldwide presence wholesale energy business need insure outstanding internal controls risk management activities regardless location global risk management operations function created direction sally beck vice president role sally report rick causey executive vice president chief accounting officer sally responsibilities regard global risk management operations mirror recently created enron global functions role sally work closely enron geographic regions wholesale companies insure entity receives individualized regional support also focusing following global responsibilities enhance communication among risk management operations professionals assure proliferation best operational practices around globe facilitate allocation human resources provide training risk management operations personnel coordinate user requirements shared operational systems oversee creation global internal control audit plan risk management activities establish procedures opening new risk management operations offices create key benchmarks measuring going risk controls regional operations team continue direct reporting relationship within business unit collaborate sally delivery critical items houston based risk management operations team sue frusco leadership currently supports risk management activities south america australia also report directly sally sally retains role vice president energy operations enron north america reporting ena office chairman current role energy operations since manages risk consolidation reporting risk management administration physical product delivery confirmations cash management ena physical commodity trading energy derivatives trading financial products trading sally enron since joined company manager global credit prior joining enron sally four years experience commercial banker spent seven years registered securities principal regional investment banking firm also owned managed retail business several years please join supporting sally additional coordination role global risk management operations
6,"On Sun, Aug 11, 2002 at 11:17:47AM +0100, wintermute mentioned:
> > The impression I get from reading lkml the odd time is
> > that IDE has gone downhill since Andre Hedrick was 
> > effectively removed as maintainer. Martin Dalecki seems
> > to have been unable to further development without 
> > much breakage. 
> 
> Hmm... begs the question, why remove Handrick?
> If it ain't broke, don't fix it. See, the IDE subsystem is like the One Ring. It's kludginess, due to
having to support hundreds of dodgy chipsets & drives means that it is
inherintly evil. A few months of looking at the code can turn you sour.
Years of looking at it will turn you into an arsehole. They haven't found a hobbit that can code, so mortal humans have to
suffice. Kate
-- 
Irish Linux Users' Group: ilug@linux.ie
http://www.linux.ie/mailman/listinfo/ilug for (un)subscription information.
List maintainer: listmaster@linux.ie
",Safe Email,sun aug wintermute mentioned impression get reading lkml odd time ide gone downhill since andre hedrick effectively removed maintainer martin dalecki seems unable development without much breakage hmm begs question remove handrick aint broke dont fix see ide subsystem like one ring kludginess due support hundreds dodgy chipsets drives means inherintly evil months looking code turn sour years looking turn arsehole havent found hobbit code mortal humans suffice kate irish linux users group iluglinuxie httpwwwlinuxiemailmanlistinfoilug unsubscription information list maintainer listmasterlinuxie
7,"entourage , stockmogul newsletter ralph velez , genex pharmaceutical , inc . ( otcbb : genx ) biotech sizzle with sales and earnings ! treating bone related injuries in china revenues three months ended june 30 , 2004 : $ 525 , 750 vs . $ 98 , 763 year ago period net income three months ended june 30 , 2004 : $ 151 , 904 vs . ( $ 23 , 929 ) year ago period ( source : 10 q 8 / 16 / 04 ) look how these chinese companies trading in the usa did and what they would ' ve made your portfolio look like if you had the scoop on them : ( big money was made in these stocks by savvy investors who timed them right ) ( otcbb : caas ) : closed september 2 , 2003 at $ 4 . 00 . closed december 31 , 2003 : $ 16 . 65 , up 316 % otcbb : cwtd ) : closed january 30 , 2004 at $ 1 . 50 . closed february 17 th at $ 7 . 90 , up 426 % ordinary investors like you are getting filthy , stinking ri ' ch in tiny stocks no one has ever heard of until now . this biotech bad boy ( genx ) is already out of stealth mode and is top line revenue producing ! do you see where we ' re going with this ? biotech sizzle with sales and earnings ! about genex pharmaceutical , inc . ( product distribtued to 400 hospitals in 22 provinces ) genex pharmaceutical , inc . is a biomedical technology company with distinctive proprietary technology for an orthopedic device that treats bone - related injuries . headquartered in tianjin , china , the company manufactures and distributes reconstituted bone xenograft ( rbx ) , to 400 hospitals in 22 provinces throughout mainland china . rbx is approved by the state food and drug administration ( sfda ) in china ( the chinese government agency that regulates drugs and medical devices ) . rbx offers a modern alternative to traditional methods of treating orthopedic injuries . ( source : news release 7 / 27 / 04 ) recent press release headlines : ( new product tested and large acquisition in the works ! ) * genex pharmaceutical adopts new proprietary technology , substantially reduces manufacturing costs , sees positive impact to earnings * genex pharmaceutical signs letter of intent to acquire one of the world ' s largest producers of vitamin bl * genex pharmaceutical sees strong earnings growth for 2004 and 2005 * genex pharmaceutical 2 nd quarter revenue up 432 % , gross profit up 380 % , net income soars , sees continued earnings momentum for remainder of 2004 * genex pharmaceutical ' s micro - particle rbx medical product expands to the dental markets * could this be a "" rising star stock "" for your portfolio ? you may easily agree that the company is doing some dynamic things . some of these small stocks have absolutely exploded in price recently . * you may want to consider the "" chinese fortune cookie "" strategy : rising star chinese companies trading in the us . . consider adding genx to your portfolio today ! dis - claimer : information within this ema - il contains "" forward looking statements "" within the meaning of section 27 a of the securities act of 1933 and section 21 b of the securities exchange act of 1934 . any statements that express or involve discussions with respect to predictions , expectations , beliefs , plans , projections , objectives , goals , assumptions or future events or performance are not statements of historical fact and may be "" forward looking statements . "" forward looking statements are based on expectations , estimates and projections at the time the statements are made that involve a number of risks and uncertainties which could cause actual results or events to differ materially from those presently anticipated . forward looking statements in this action may be identified through the use of words such as "" projects "" , "" foresee "" , "" expects "" , "" will , "" "" anticipates , "" "" estimates , "" "" believes , "" "" understands "" or that by statements indicating certain actions "" may , "" "" could , "" or "" might "" occur . as with many micro - cap stocks , today ' s company has additional risk factors worth noting . those factors include : a limited operating history : the company advancing cash to related parties and a shareholder on an unsecured basis : one vendor , a related party through a majority stockholder , supplies ninety - seven percent of the company ' s raw materials : reliance on two customers for over fifty percent of their business and numerous related party transactions and the need to raise capital . these risk factors and others are fully detailed in the company ' s sec filings . we urge you to read them before you invest . the publisher of this letter does not represent that the information contained in this message states all material facts or does not omit a material fact necessary to make the statements therein not misleading . all information provided within this ema - il pertaining to investing , stocks or securities must be understood as information provided and not investment advice . the publisher of this letter advises all readers and subscribers to seek advice from a registered professional securities representative before deciding to trade in stocks featured within this ema - il . none of the material within this report shall be construed as any kind of investment advice or solicitation . many of these companies are on the verge of bankruptcy . you can lose all your money by investing in this stock . the publisher of this letter is not a registered investment advisor . subscribers should not view information herein as legal , tax , accounting or investment advice . any reference to past performance ( s ) of companies are specially selected to be referenced based on the favorable performance of these companies . you would need perfect timing to acheive the results in the examples given . there can be no assurance of that happening . remember , as always , past performance is never indicative of future results and a thorough due diligence effort , including a review of a company ' s filings , should be completed prior to investing . the publisher of this letter has no relationship with caas and cwtd . ( source for price information : yahoo finance historical ) . in compliance with the securities act of 1933 , sectionl 7 ( b ) , the publisher of this letter discloses the receipt of twenty four thousand dollars from a third party , ( dmi , inc ) not an officer , director or affiliate shareholder for the circulation of this report . be aware of an inherent conflict of interest resulting from such compensation due to the fact that this is a paid adver - tisement and is not without bias . all factual information in this report was gathered from public sources , including but not limited to company websites , sec filings and company press releases . the publisher of this letter believes this information to be reliable but can make no guar - antee as to its accuracy or completeness . use of the material within this ema - il constitutes your acceptance of these terms . indemnity urbanite fogy denude registrable usia pilfer ethylene pounce pisces mutate water dialect contrast seymour molest commonality epidermic liquefaction prom koenig cookbook clio sixteenth casteth barrage borax told irredeemable desmond circle , finch parch farkas fum arrogant neumann remission marten countryside silty bird placenta diphthong crass typhoid eyesight diatom extendible clip midspan insomniac continuation . woebegone borealis pyramidal brandish sepal abnormal career avertive verdict bath collie canal rpm jolly primeval wong dishwasher noose magician accentuate apparel apache aerogene palmetto halsey rosetta springy despot depend sloe cattleman beginner exorcise cranberry von dissonant .",Phishing Email,entourage stockmogul newsletter ralph velez genex pharmaceutical inc otcbb genx biotech sizzle sales earnings treating bone related injuries china revenues three months ended june vs year ago period net income three months ended june vs year ago period source look chinese companies trading usa would made portfolio look like scoop big money made stocks savvy investors timed right otcbb caas closed september closed december otcbb cwtd closed january closed february th ordinary investors like getting filthy stinking ri ch tiny stocks one ever heard biotech bad boy genx already stealth mode top line revenue producing see going biotech sizzle sales earnings genex pharmaceutical inc product distribtued hospitals provinces genex pharmaceutical inc biomedical technology company distinctive proprietary technology orthopedic device treats bone related injuries headquartered tianjin china company manufactures distributes reconstituted bone xenograft rbx hospitals provinces throughout mainland china rbx approved state food drug administration sfda china chinese government agency regulates drugs medical devices rbx offers modern alternative traditional methods treating orthopedic injuries source news release recent press release headlines new product tested large acquisition works genex pharmaceutical adopts new proprietary technology substantially reduces manufacturing costs sees positive impact earnings genex pharmaceutical signs letter intent acquire one world largest producers vitamin bl genex pharmaceutical sees strong earnings growth genex pharmaceutical nd quarter revenue gross profit net income soars sees continued earnings momentum remainder genex pharmaceutical micro particle rbx medical product expands dental markets could rising star stock portfolio may easily agree company dynamic things small stocks absolutely exploded price recently may want consider chinese fortune cookie strategy rising star chinese companies trading us consider adding genx portfolio today dis claimer information within ema il contains forward looking statements within meaning section securities act section securities exchange act statements express involve discussions respect predictions expectations beliefs plans projections objectives goals assumptions future events performance statements historical fact may forward looking statements forward looking statements based expectations estimates projections time statements made involve number risks uncertainties could cause actual results events differ materially presently anticipated forward looking statements action may identified use words projects foresee expects anticipates estimates believes understands statements indicating certain actions may could might occur many micro cap stocks today company additional risk factors worth noting factors include limited operating history company advancing cash related parties shareholder unsecured basis one vendor related party majority stockholder supplies ninety seven percent company raw materials reliance two customers fifty percent business numerous related party transactions need raise capital risk factors others fully detailed company sec filings urge read invest publisher letter represent information contained message states material facts omit material fact necessary make statements therein misleading information provided within ema il pertaining investing stocks securities must understood information provided investment advice publisher letter advises readers subscribers seek advice registered professional securities representative deciding trade stocks featured within ema il none material within report shall construed kind investment advice solicitation many companies verge bankruptcy lose money investing stock publisher letter registered investment advisor subscribers view information herein legal tax accounting investment advice reference past performance companies specially selected referenced based favorable performance companies would need perfect timing acheive results examples given assurance happening remember always past performance never indicative future results thorough due diligence effort including review company filings completed prior investing publisher letter relationship caas cwtd source price information yahoo finance historical compliance securities act sectionl publisher letter discloses receipt twenty four thousand dollars third party dmi inc officer director affiliate shareholder circulation report aware inherent conflict interest resulting compensation due fact paid adver tisement without bias factual information report gathered public sources including limited company websites sec filings company press releases publisher letter believes information reliable make guar antee accuracy completeness use material within ema il constitutes acceptance terms indemnity urbanite fogy denude registrable usia pilfer ethylene pounce pisces mutate water dialect contrast seymour molest commonality epidermic liquefaction prom koenig cookbook clio sixteenth casteth barrage borax told irredeemable desmond circle finch parch farkas fum arrogant neumann remission marten countryside silty bird placenta diphthong crass typhoid eyesight diatom extendible clip midspan insomniac continuation woebegone borealis pyramidal brandish sepal abnormal career avertive verdict bath collie canal rpm jolly primeval wong dishwasher noose magician accentuate apparel apache aerogene palmetto halsey rosetta springy despot depend sloe cattleman beginner exorcise cranberry von dissonant
8,"we owe you lots of money dear applicant , after further review upon receiving your application your current mortgage qualifies for a 3 % lower rate . your new monthly payment will be as low as $ 340 / month for a $ 200 , 000 loan . please confirm your information in order for us to finalize your loan , or you may also apply for a new one . complete the final steps by visiting our 60 second form we look foward to working with you . thank you , nicole staley , account manager logan and associates , llc . - - - - - - - - - - - - - - - - - - - - - - - not interested - http : / / www . azrefi . net / book . php",Phishing Email,owe lots money dear applicant review upon receiving application current mortgage qualifies lower rate new monthly payment low month loan please confirm information order us finalize loan may also apply new one complete final steps visiting second form look foward working thank nicole staley account manager logan associates llc interested http www azrefi net book php
9,"re : coastal deal - with exxon participation under the project agreement thanks for the info ! as greg mentioned in the staff meeting today , the intent is that this restructured deal is papered effective 4 / 1 / 00 . the impact is potentially that the gas is not pathed properly by counterparty or on the appropriate transport / gathering agreements , etc . if any rates are changing , then those need to be changed in our systems also . there may be other areas of changes also - i ' m not attempting to list them all . rather i just want to make people aware that retroactive deals can have impacts on the daily operations . thanks for the information . pat / daren : can you get with mike and / or brian to determine the potential impact , if any ? thanks . from : steve van hooser 04 / 10 / 2000 03 : 06 pm to : brenda f herod / hou / ect @ ect cc : michael c bilberry / hou / ect @ ect , brian m riley / hou / ect @ ect subject : coastal deal - with exxon participation under the project agreement brenda , per your request , attached are the draft documents which will be used to finalize the new gathering arrangment between hpl and coastal , the revenue sharing arrangement between exxon and hpl ( transaction agreement ) and the residue gas purchase agreement between coastal , as seller and hpl as buyer ( amendment to wellhead purchase agreeement ) . i do not have a copy of the processing agreement between exxon and coastal , as such agreement does not involve us ( and i believe it is far from finalized . the only other document that i plan to prepare is a termination agreement relative to the current liquifiables purchase agreement between exxon as purchaser and hpl as seller - - this termination will be affective as of 4 / 1 / 2000 . if i can be of any further assistance , please let me know . steve",Safe Email,coastal deal exxon participation project agreement thanks info greg mentioned staff meeting today intent restructured deal papered effective impact potentially gas pathed properly counterparty appropriate transport gathering agreements etc rates changing need changed systems also may areas changes also attempting list rather want make people aware retroactive deals impacts daily operations thanks information pat daren get mike brian determine potential impact thanks steve van hooser pm brenda herod hou ect ect cc michael bilberry hou ect ect brian riley hou ect ect subject coastal deal exxon participation project agreement brenda per request attached draft documents used finalize new gathering arrangment hpl coastal revenue sharing arrangement exxon hpl transaction agreement residue gas purchase agreement coastal seller hpl buyer amendment wellhead purchase agreeement copy processing agreement exxon coastal agreement involve us believe far finalized document plan prepare termination agreement relative current liquifiables purchase agreement exxon purchaser hpl seller termination affective assistance please let know steve
